user-input,desired output
Which PE should I use to collect COVID dates and case counts and draw the line plot?,PE_MATCH: covid_workflow.DataVisualizer
I want the PE that can apply a bandpass filter to seismic waveform data.,PE_MATCH: seismic_preparation_workflow.Filter
"Give me a workflow for generate random numbers, split them into odd and even, and pair one odd with one even.",WORKFLOW_MATCH: even_odd_workflow
Could you find the PE that can remove the mean from waveform traces?,MULTI_PE_MATCH: seismic_preparation_workflow.Demean | seismic_preparation_dict_workflow.Demean
Give me a Processing Element for something that can spectrally whiten seismic data.,MULTI_PE_MATCH: seismic_preparation_workflow.Whiten | seismic_preparation_dict_workflow.Whiten
Show me a processing element that can read coordinate input lines and add a search radius.,PE_MATCH: internal_extinction_workflow.ReadRaDec
Can you give me a workflow for analyse IoT-style temperature readings from a JSON file?,WORKFLOW_MATCH: sensor_workflow
Which PE should I use to run the seismic normalization step?,PE_MATCH: seismic_preparation_workflow.CalculateNorm
"I want a workflow that can get pandemic case time series, extract dates and daily confirmed cases, then visualise them.",WORKFLOW_MATCH: covid_workflow
Is there a Processing Element in the registry to calculate internal extinction in the skewed galaxy workflow?,PE_MATCH: internal_extinction_skew_workflow.InternalExtinction
I want the PE that can store seismic preparation results per station.,PE_MATCH: seismic_preparation_workflow.StreamToFile
I am looking for a PE to summarise sensor data in small batches.,PE_MATCH: sensor_workflow.AggregateDataPE
Give me a workflow for run the internal-extinction workflow variant where the query PE has skewed delays.,WORKFLOW_MATCH: internal_extinction_skew_workflow
Give me the workflow for something that can build a knowledge graph from RDF triples.,NO_MATCH_WORKFLOW
I am looking for a PE to detrend the seismic stream.,PE_MATCH: seismic_preparation_workflow.Detrend
Give me a Processing Element for something that can read seismic station streams.,MULTI_PE_MATCH: seismic_preparation_workflow.StreamRead | seismic_preparation_dict_workflow.StreamRead
I am looking for a workflow to run something useful for skewed workload experiments.,MULTI_WORKFLOW_MATCH: skew_workflow | internal_extinction_skew_workflow
I am looking for a PE to check whether each random number is prime.,PE_MATCH: skew_workflow.IsPrime
Do we have a workflow that will prepare seismology streams before saving the final station outputs?,MULTI_WORKFLOW_MATCH: seismic_preparation_workflow | seismic_preparation_dict_workflow
Do we have a workflow that will use the skew variant of the galaxy extinction pipeline?,WORKFLOW_MATCH: internal_extinction_skew_workflow
"Find me a workflow for produce numbers and match the odd ones with the even ones, please.",WORKFLOW_MATCH: even_odd_workflow
I want the PE that can calculate PageRank on a graph.,NO_MATCH_PE
Need a workflow which can send Slack messages when a job finishes.,NO_MATCH_WORKFLOW
Could you find a workflow that show a two-branch stream where random values are classified as odd or even?,WORKFLOW_MATCH: even_odd_workflow
Could you find the PE that can apply a bandpass filter to seismic waveform data?,PE_MATCH: seismic_preparation_workflow.Filter
Need a PE which can download the cases_time_series data for COVID.,PE_MATCH: covid_workflow.DataProducer
Is there a Processing Element in the registry to pull mtype and logr25 from the catalogue result?,PE_MATCH: internal_extinction_workflow.FilterColumns
Can you point me to a processing element for predict a protein structure?,NO_MATCH_PE
Could you find the PE that can compute average temperature for groups of readings?,PE_MATCH: sensor_workflow.AggregateDataPE
Which PE should I use to emit a stream of random integer values?,MULTI_PE_MATCH: skew_workflow.NumberProducer | even_odd_workflow.NumberProducer
Give me a Processing Element for something that can apply the galaxy extinction formula in the skew variant.,PE_MATCH: internal_extinction_skew_workflow.InternalExtinction
I would like the PE that filter VOTable columns in the skewed internal-extinction workflow.,PE_MATCH: internal_extinction_skew_workflow.FilterColumns
Give me a Processing Element for something that can apply seismic response removal.,MULTI_PE_MATCH: seismic_preparation_workflow.RemoveResponse | seismic_preparation_dict_workflow.RemoveResponse
Need a workflow which can generate synthetic speech from text.,NO_MATCH_WORKFLOW
"Is there a workflow in you that can pull COVID-19 India data, process daily cases, and produce a graph?",WORKFLOW_MATCH: covid_workflow
Can you point me to a processing element for produce COVID records from the remote JSON API?,PE_MATCH: covid_workflow.DataProducer
Need a PE which can whiten waveform traces before FFT.,PE_MATCH: seismic_preparation_workflow.Whiten
"Do we have a workflow that will ingest sensor readings, check abnormal temperatures, print alerts, and aggregate results?",WORKFLOW_MATCH: sensor_workflow
I need a Processing Element that reads the station list and finds the mseed stream files.,MULTI_PE_MATCH: seismic_preparation_workflow.StreamRead | seismic_preparation_dict_workflow.StreamRead
Can you give me a workflow for download COVID numbers for India and save a chart as covid_cases.png?,WORKFLOW_MATCH: covid_workflow
I need a Processing Element to compute the Fourier transform for prepared streams.,MULTI_PE_MATCH: seismic_preparation_workflow.CalculateFft | seismic_preparation_dict_workflow.CalculateFft
Do we have a PE that will translate a sentence from French to English?,NO_MATCH_PE
"Find me a Processing Element for plot COVID daily new cases and save the image, please.",PE_MATCH: covid_workflow.DataVisualizer
Could you find a workflow that fetch COVID case data from an online API and make a plot of daily new cases?,WORKFLOW_MATCH: covid_workflow
I want the PE that can read galaxy RA and DEC coordinates from a text file.,PE_MATCH: internal_extinction_workflow.ReadRaDec
I want the PE that can merge two Excel sheets.,NO_MATCH_PE
I want the wflow that can download COVID numbers for India and save a chart as covid_cases.png.,WORKFLOW_MATCH: covid_workflow
Do we have a workflow that will do the galaxy VOTable extinction calculation?,MULTI_WORKFLOW_MATCH: internal_extinction_workflow | internal_extinction_skew_workflow
Give me the workflow for something that can process sensor or signal data through several preparation steps.,MULTI_WORKFLOW_MATCH: sensor_workflow | seismic_preparation_workflow | seismic_preparation_dict_workflow
I would like the PE that apply a whitening step to waveform traces.,MULTI_PE_MATCH: seismic_preparation_workflow.Whiten | seismic_preparation_dict_workflow.Whiten
Is there a Processing Element in the registry to load RA/Dec input for the skewed galaxy workflow?,PE_MATCH: internal_extinction_skew_workflow.ReadRaDec
Do we have a PE that will make delayed Vizier requests for galaxy coordinates?,PE_MATCH: internal_extinction_skew_workflow.GetVOTable
"Show me the workflow that preprocess seismic waveform data through decimation, filtering, normalisation and FFT.",MULTI_WORKFLOW_MATCH: seismic_preparation_workflow | seismic_preparation_dict_workflow
I would like the PE that flag anomalies in normalized temperature data.,PE_MATCH: sensor_workflow.AnomalyDetectionPE
Which workflow should I use to generate random numbers and then do simple conditional processing?,MULTI_WORKFLOW_MATCH: skew_workflow | even_odd_workflow
I want the PE that can read timestamped temperature sensor records from a JSON file.,PE_MATCH: sensor_workflow.ReadSensorDataPE
Can you point me to a processing element for write the final seismic output per station?,MULTI_PE_MATCH: seismic_preparation_workflow.StreamToFile | seismic_preparation_dict_workflow.StreamToFile
"I want a workflow that can take timestamped temperature data, normalise it, flag outliers, and summarise averages.",WORKFLOW_MATCH: sensor_workflow
I would like the PE that compress JSON into gzip.,NO_MATCH_PE
Can you point me to a processing element for remove instrument response from seismic traces using inventory XML?,PE_MATCH: seismic_preparation_workflow.RemoveResponse
I am looking for a PE to flatten the spectrum of seismic streams.,PE_MATCH: seismic_preparation_workflow.Whiten
"Find me a Processing Element for run the seismic normalization step, please.",PE_MATCH: seismic_preparation_workflow.CalculateNorm
"Which workflow should I use to preprocess seismic waveform data through decimation, filtering, normalisation and FFT?",MULTI_WORKFLOW_MATCH: seismic_preparation_workflow | seismic_preparation_dict_workflow
Give me a Processing Element for something that can make delayed Vizier requests for galaxy coordinates.,PE_MATCH: internal_extinction_skew_workflow.GetVOTable
Could you find the PE that can compute the extinction value after skewed VOTable retrieval?,PE_MATCH: internal_extinction_skew_workflow.InternalExtinction
I would like a workflow that remove duplicates from a spreadsheet.,NO_MATCH_WORKFLOW
Show me a processing element that can apply a bandpass filter to seismic waveform data.,PE_MATCH: seismic_preparation_workflow.Filter
Is there a workflow in you that can run a workflow that prepares real-world measurement data?,MULTI_WORKFLOW_MATCH: sensor_workflow | seismic_preparation_workflow | seismic_preparation_dict_workflow
Which PE should I use to reduce sample rate in the dict-based seismic workflow?,PE_MATCH: seismic_preparation_dict_workflow.Decimate
Show me a processing element that can apply simple detrending to waveform data.,PE_MATCH: seismic_preparation_workflow.Detrend
I would like the PE that print the prime numbers it receives.,PE_MATCH: skew_workflow.PrintPrime
Do we have a workflow that will run the dict-based seismic preprocessing workflow with stream-to-dict conversions?,WORKFLOW_MATCH: seismic_preparation_dict_workflow
Show me a processing element that can produce random numbers slowly and unevenly.,PE_MATCH: skew_workflow.NumberProducer
Give me the workflow for something that can crop microscope images and segment cell nuclei.,NO_MATCH_WORKFLOW
Is there a Processing Element in the registry to generate random integers for a toy workflow?,MULTI_PE_MATCH: skew_workflow.NumberProducer | even_odd_workflow.NumberProducer
Need a workflow which can prepare seismic streams using dictionary/list serialisation between steps before saving the result.,WORKFLOW_MATCH: seismic_preparation_dict_workflow
Need a PE which can do envelope normalization for waveform data.,PE_MATCH: seismic_preparation_workflow.CalculateNorm
Give me the PE for print an alert when a sensor anomaly is detected.,PE_MATCH: sensor_workflow.AlertingPE
Which PE should I use to generate random integers with a skewed sleep delay?,PE_MATCH: skew_workflow.NumberProducer
Give me a Processing Element for something that can output prime-number messages.,PE_MATCH: skew_workflow.PrintPrime
Need a workflow which can process timestamped data and turn it into useful output.,MULTI_WORKFLOW_MATCH: sensor_workflow | covid_workflow
Could you find the PE that can demean seismic data?,MULTI_PE_MATCH: seismic_preparation_workflow.Demean | seismic_preparation_dict_workflow.Demean
Need the PE that just says if the random number is prime or not.,PE_MATCH: skew_workflow.IsPrime
"Show me the workflow that take ObsPy stream data through decimation, detrending, filtering, normalization, whitening and FFT.",WORKFLOW_MATCH: seismic_preparation_workflow
I want a workflow that can prepare seismology streams before saving the final station outputs.,MULTI_WORKFLOW_MATCH: seismic_preparation_workflow | seismic_preparation_dict_workflow
Need a workflow which can show a two-branch stream where random values are classified as odd or even.,WORKFLOW_MATCH: even_odd_workflow
I am looking for a PE to compute average temperature for groups of readings.,PE_MATCH: sensor_workflow.AggregateDataPE
Could you find the PE that can turn seismic traces into frequency-domain data?,MULTI_PE_MATCH: seismic_preparation_workflow.CalculateFft | seismic_preparation_dict_workflow.CalculateFft
"Give me a workflow for read sensor JSON data, normalise temperatures, detect anomalies, raise alerts, and aggregate readings.",WORKFLOW_MATCH: sensor_workflow
I need a Processing Element to apply simple detrending to waveform data.,PE_MATCH: seismic_preparation_workflow.Detrend
I would like the PE that run the spectral whitening step.,PE_MATCH: seismic_preparation_workflow.Whiten
Give me a workflow for process timestamped data and turn it into useful output.,MULTI_WORKFLOW_MATCH: sensor_workflow | covid_workflow
Show me a processing element that can load coordinate rows for galaxies.,PE_MATCH: internal_extinction_workflow.ReadRaDec
Give me a Processing Element for something that can run the seismic filter step.,PE_MATCH: seismic_preparation_workflow.Filter
I want a PE that can consume prepared waveform results and store them.,MULTI_PE_MATCH: seismic_preparation_workflow.StreamToFile | seismic_preparation_dict_workflow.StreamToFile
I want a PE that can compute extinction from morphology and logr25.,MULTI_PE_MATCH: internal_extinction_workflow.InternalExtinction | internal_extinction_skew_workflow.InternalExtinction
"Find me a Processing Element for apply whitening after converting dict data to ObsPy stream, please.",PE_MATCH: seismic_preparation_dict_workflow.Whiten
Which PE should I use to hold unmatched values and output odd/even tuples?,PE_MATCH: even_odd_workflow.PairProducer
Show me a processing element that can apply a normalization step.,MULTI_PE_MATCH: sensor_workflow.NormalizeDataPE | seismic_preparation_workflow.CalculateNorm | seismic_preparation_dict_workflow.CalculateNorm
Which PE should I use to flag anomalies in normalized temperature data?,PE_MATCH: sensor_workflow.AnomalyDetectionPE
I want the PE that can generate random integers with a skewed sleep delay.,PE_MATCH: skew_workflow.NumberProducer
Give me the PE for reduce sample rate in the dict-based seismic workflow.,PE_MATCH: seismic_preparation_dict_workflow.Decimate
I need a Processing Element to make the covid_cases.png chart.,PE_MATCH: covid_workflow.DataVisualizer
"Find me a workflow for train a neural network to classify galaxy images, please.",NO_MATCH_WORKFLOW
Can you point me to a processing element for extract dates and daily confirmed case counts from COVID records?,PE_MATCH: covid_workflow.DataProcessor
Give me the PE for filter traces between frequency limits.,PE_MATCH: seismic_preparation_workflow.Filter
Could you find the PE that can combine the two branches into odd-even pairs?,PE_MATCH: even_odd_workflow.PairProducer
I want the PE that can produce random numbers for the odd-even example.,PE_MATCH: even_odd_workflow.NumberProducer
Give me a workflow for calculate internal extinction for galaxies from coordinates.,MULTI_WORKFLOW_MATCH: internal_extinction_workflow | internal_extinction_skew_workflow
Give me the workflow for something that can generate synthetic speech from text.,NO_MATCH_WORKFLOW
Could you find the PE that can turn raw COVID records into date and new-case values?,PE_MATCH: covid_workflow.DataProcessor
I want the PE that can raise a simple text alert for abnormal temperature data.,PE_MATCH: sensor_workflow.AlertingPE
Which PE should I use to extract dates and daily confirmed case counts from COVID records?,PE_MATCH: covid_workflow.DataProcessor
Give me the PE for filter the incoming numbers to primes only.,PE_MATCH: skew_workflow.IsPrime
